id,tipo,peso
0,20ft,9
1,20ft,19
2,40ft,19
3,40ft,21
4,40ft,21
5,40ft,14
6,40ft,5
7,20ft,20
8,20ft,20
9,40ft,13
10,40ft,13
11,40ft,14
12,40ft,5
13,40ft,5
14,40ft,27
15,40ft,24
16,40ft,28
17,40ft,24
18,40ft,20
19,40ft,5
20,20ft,3
21,20ft,19
22,40ft,5
23,40ft,3
24,20ft,24
25,20ft,27
26,40ft,19
27,40ft,13
28,40ft,6
29,40ft,27
30,40ft,21
31,40ft,23
32,40ft,22
33,40ft,21
34,40ft,6
35,40ft,6
36,20ft,20
37,20ft,22
38,20ft,19
39,20ft,23
40,20ft,20
41,20ft,22
42,20ft,20
43,20ft,21
44,20ft,19
45,20ft,22
46,20ft,21
47,20ft,21
48,20ft,22
49,20ft,22
50,40ft,22
51,20ft,20
52,20ft,25
53,20ft,14
54,20ft,19
55,20ft,8
56,20ft,22
57,40ft,26
58,40ft,25
59,40ft,13
60,40ft,5
61,20ft,20
62,20ft,23
63,20ft,19
64,20ft,21
65,20ft,21
66,20ft,21
67,20ft,20
68,20ft,20
69,20ft,19
70,20ft,21
71,40ft,2
72,40ft,2
73,20ft,3
74,20ft,23
75,40ft,19
76,40ft,21
77,40ft,13
78,40ft,14
79,40ft,8
80,40ft,5
81,40ft,29
82,40ft,20
83,40ft,20
84,40ft,21
85,40ft,21
86,40ft,5
87,20ft,3
88,20ft,22
89,40ft,20
90,40ft,21
91,40ft,8
92,40ft,9
93,40ft,6
94,20ft,19
95,20ft,26
96,20ft,21
97,20ft,19
98,20ft,3
99,20ft,23
100,40ft,20
101,40ft,14
102,40ft,9
103,40ft,8
104,20ft,14
105,20ft,15
106,40ft,26
107,40ft,27
108,40ft,25
109,40ft,21
110,40ft,22
111,40ft,18
112,40ft,28
113,40ft,25
114,40ft,28
115,40ft,13
116,40ft,13
117,40ft,9
118,40ft,6
119,40ft,28
120,40ft,25
121,40ft,24
122,40ft,20
123,40ft,19
124,40ft,26
125,40ft,20
126,40ft,19
127,40ft,21
128,20ft,24
129,20ft,29
130,20ft,22
131,20ft,24
132,40ft,18
133,20ft,19
134,20ft,21
135,40ft,9
136,40ft,9
137,40ft,9
138,40ft,6
139,40ft,2
140,20ft,22
141,20ft,28
142,20ft,23
143,20ft,25
144,20ft,22
145,20ft,29
146,20ft,19
147,20ft,24
148,20ft,20
149,20ft,24
150,40ft,27
151,40ft,26
152,40ft,29
153,20ft,13
154,20ft,26
155,20ft,2
156,20ft,21
157,40ft,21
158,40ft,14
159,40ft,15
160,40ft,14
161,40ft,9
162,40ft,6
163,40ft,5
164,40ft,6
165,40ft,24
166,40ft,28
167,40ft,28
168,40ft,26
169,40ft,5
170,40ft,6
171,40ft,5
172,40ft,6
173,20ft,20
174,20ft,26
175,20ft,19
176,20ft,26
177,20ft,14
178,20ft,26
179,40ft,20
180,40ft,20
181,40ft,3
182,20ft,19
183,20ft,20
184,40ft,27
185,40ft,24
186,40ft,28
187,40ft,21
188,40ft,20
189,20ft,25
190,20ft,25
191,20ft,18
192,20ft,26
193,40ft,25
194,40ft,15
195,20ft,22
196,20ft,21
197,20ft,2
198,20ft,21
199,20ft,14
200,20ft,27
201,40ft,24
202,40ft,27
203,40ft,28
204,40ft,21
205,40ft,13
206,40ft,13
207,40ft,12
208,40ft,14
209,40ft,9
210,20ft,24
211,20ft,29
212,20ft,26
213,20ft,27
214,20ft,27
215,20ft,26
216,20ft,27
217,20ft,26
218,20ft,29
219,20ft,26
220,40ft,21
221,40ft,23
222,40ft,14
223,40ft,9
224,40ft,8
225,40ft,9
226,40ft,8
227,40ft,8
228,40ft,6
229,20ft,26
230,20ft,27
231,20ft,19
232,20ft,25
233,20ft,19
234,20ft,25
235,20ft,22
236,20ft,29
237,40ft,27
238,40ft,24
239,40ft,26
240,40ft,21
241,40ft,21
242,40ft,21
243,40ft,6
244,20ft,19
245,20ft,20
246,40ft,25
247,40ft,19
248,40ft,21
249,40ft,12
250,40ft,14
251,40ft,6
252,40ft,5
253,40ft,3
254,20ft,9
255,20ft,19
256,20ft,9
257,20ft,14
258,40ft,18
259,40ft,8
260,40ft,9
261,40ft,6
262,40ft,6
263,40ft,2
264,20ft,19
265,20ft,25
266,20ft,19
267,20ft,29
268,20ft,19
269,20ft,29
270,40ft,28
271,40ft,23
272,40ft,13
273,40ft,12
274,40ft,29
275,40ft,27
276,40ft,26
277,40ft,24
278,40ft,26
279,40ft,9
280,40ft,6
281,40ft,6
282,20ft,25
283,20ft,28
284,20ft,20
285,20ft,26
286,20ft,19
287,20ft,24
288,40ft,20
289,40ft,20
290,20ft,22
291,20ft,18
292,40ft,26
293,40ft,24
294,40ft,20
295,40ft,14
296,40ft,8
297,40ft,20
298,40ft,13
299,40ft,13
300,40ft,13
301,40ft,13
302,40ft,8
303,20ft,22
304,20ft,21
305,40ft,28
306,40ft,21
307,40ft,14
308,40ft,14
309,40ft,5
310,40ft,5
311,40ft,2
312,40ft,24
313,40ft,25
314,40ft,25
315,40ft,27
316,40ft,29
317,40ft,21
318,40ft,20
319,40ft,21
320,40ft,9
321,40ft,2
322,20ft,8
323,20ft,15
324,40ft,21
325,40ft,21
326,40ft,12
327,40ft,14
328,40ft,14
329,40ft,9
330,40ft,5
331,20ft,21
332,20ft,20
333,40ft,24
334,40ft,24
335,40ft,27
336,40ft,24
337,40ft,25
338,40ft,20
339,20ft,22
340,20ft,24
341,20ft,21
342,20ft,29
343,20ft,22
344,20ft,25
345,40ft,25
346,40ft,28
347,40ft,25
348,40ft,14
349,40ft,22
350,40ft,19
351,40ft,15
352,40ft,14
353,20ft,21
354,20ft,20
