id,tipo,peso
0,40ft,19
1,40ft,21
2,40ft,21
3,40ft,21
4,40ft,19
5,40ft,8
6,20ft,13
7,20ft,21
8,40ft,27
9,40ft,21
10,40ft,20
11,40ft,21
12,40ft,6
13,40ft,27
14,40ft,28
15,40ft,28
16,40ft,6
17,40ft,3
18,40ft,3
19,40ft,26
20,40ft,9
21,20ft,28
22,20ft,28
23,20ft,20
24,20ft,22
25,20ft,21
26,20ft,21
27,20ft,8
28,20ft,25
29,20ft,2
30,20ft,22
31,40ft,22
32,20ft,25
33,20ft,24
34,20ft,27
35,20ft,24
36,20ft,26
37,20ft,28
38,20ft,22
39,20ft,28
40,20ft,19
41,20ft,24
42,40ft,13
43,40ft,8
44,20ft,20
45,20ft,27
46,20ft,23
47,20ft,20
48,20ft,21
49,20ft,19
50,20ft,14
51,20ft,22
52,40ft,28
53,40ft,19
54,40ft,19
55,20ft,3
56,20ft,2
57,40ft,5
58,40ft,25
59,20ft,25
60,20ft,25
61,20ft,19
62,20ft,22
63,20ft,8
64,20ft,22
65,40ft,27
66,40ft,27
67,40ft,27
68,40ft,28
69,40ft,29
70,40ft,5
71,40ft,20
72,40ft,20
73,40ft,8
74,40ft,8
75,40ft,6
76,40ft,3
77,40ft,13
78,40ft,6
79,40ft,5
80,20ft,26
81,20ft,26
82,20ft,22
83,20ft,25
84,20ft,22
85,20ft,12
86,40ft,29
87,40ft,21
88,40ft,22
89,40ft,18
90,40ft,14
91,40ft,15
92,40ft,9
93,40ft,8
94,40ft,9
95,40ft,5
96,40ft,27
97,40ft,12
98,40ft,12
99,40ft,13
100,40ft,13
101,40ft,9
102,40ft,6
103,40ft,19
104,40ft,9
105,40ft,5
106,40ft,5
107,40ft,6
108,40ft,22
109,40ft,6
110,40ft,22
111,40ft,23
112,20ft,26
113,20ft,26
114,20ft,27
115,20ft,21
116,40ft,8
117,40ft,9
118,40ft,9
119,40ft,9
120,40ft,5
121,40ft,6
122,40ft,6
123,20ft,12
124,20ft,14
125,40ft,25
126,40ft,20
127,40ft,22
128,40ft,20
129,40ft,5
130,40ft,3
131,40ft,29
132,40ft,26
133,40ft,14
134,40ft,14
135,40ft,13
136,40ft,14
137,20ft,2
138,20ft,29
139,40ft,22
140,40ft,20
141,20ft,3
142,20ft,3
143,40ft,2
144,40ft,2
145,40ft,3
146,40ft,8
147,40ft,9
148,40ft,6
149,40ft,5
150,40ft,5
151,40ft,5
152,40ft,6
153,40ft,5
154,40ft,6
155,40ft,3
156,40ft,3
157,40ft,25
158,40ft,29
159,40ft,25
160,40ft,19
161,40ft,22
162,40ft,19
163,40ft,13
164,40ft,26
165,40ft,26
166,40ft,25
167,20ft,2
168,20ft,26
169,40ft,28
170,40ft,25
171,20ft,19
172,20ft,19
173,20ft,13
174,20ft,20
175,40ft,13
176,40ft,13
177,40ft,15
178,40ft,9
179,40ft,9
180,40ft,25
181,20ft,3
182,20ft,28
183,40ft,28
184,40ft,21
185,40ft,19
186,20ft,22
187,20ft,28
188,40ft,22
189,40ft,21
190,40ft,21
191,40ft,22
192,40ft,20
193,40ft,22
194,20ft,22
195,20ft,20
196,40ft,28
197,40ft,24
198,40ft,25
199,40ft,21
200,40ft,19
201,20ft,2
202,20ft,22
203,20ft,21
204,20ft,26
205,40ft,26
206,40ft,29
207,40ft,27
208,40ft,26
209,20ft,21
210,20ft,28
211,20ft,21
212,20ft,19
213,20ft,19
214,20ft,21
215,20ft,20
216,20ft,22
217,20ft,8
218,20ft,9
219,40ft,8
220,40ft,9
221,40ft,8
222,40ft,5
223,20ft,14
224,20ft,21
225,20ft,2
226,20ft,20
227,40ft,19
228,20ft,21
229,20ft,22
230,40ft,25
231,40ft,27
232,40ft,21
233,20ft,20
234,20ft,21
235,40ft,24
236,40ft,26
237,40ft,26
238,40ft,29
239,40ft,25
240,20ft,2
241,20ft,21
242,40ft,22
243,40ft,15
244,40ft,13
245,40ft,5
246,40ft,3
247,20ft,3
248,20ft,19
249,20ft,3
250,20ft,14
251,40ft,15
252,40ft,6
253,40ft,6
254,40ft,3
255,40ft,3
256,40ft,3
257,40ft,2
258,20ft,22
259,20ft,19
260,20ft,13
261,20ft,22
262,40ft,28
263,40ft,19
264,40ft,13
265,40ft,12
266,40ft,9
267,40ft,9
268,40ft,5
269,40ft,5
270,40ft,20
271,40ft,22
272,40ft,5
273,40ft,2
274,40ft,27
275,40ft,21
276,40ft,13
277,40ft,20
278,40ft,12
279,40ft,14
280,40ft,8
281,40ft,6
282,40ft,6
283,20ft,21
284,20ft,19
285,40ft,9
286,40ft,3
287,20ft,14
288,20ft,20
289,20ft,14
290,20ft,20
291,20ft,14
292,20ft,21
293,40ft,24
294,40ft,13
295,20ft,8
296,20ft,22
297,40ft,15
298,40ft,8
299,20ft,2
300,20ft,27
301,40ft,24
302,40ft,26
303,40ft,20
304,40ft,19
305,40ft,22
306,40ft,21
307,40ft,26
308,40ft,27
309,40ft,29
310,40ft,27
311,20ft,21
312,20ft,24
313,20ft,21
314,20ft,22
315,40ft,5
316,40ft,6
317,40ft,6
318,40ft,5
319,40ft,3
320,20ft,20
321,20ft,20
322,20ft,14
323,20ft,22
324,40ft,25
325,40ft,21
326,40ft,14
327,40ft,13
328,40ft,14
329,20ft,26
330,20ft,25
331,20ft,20
332,20ft,22
333,20ft,21
334,20ft,20
335,40ft,29
336,40ft,28
337,40ft,20
338,40ft,8
339,20ft,27
340,20ft,29
341,40ft,25
342,40ft,6
343,40ft,6
344,20ft,27
345,20ft,25
346,20ft,26
347,20ft,29
348,20ft,21
349,20ft,26
350,40ft,26
351,40ft,28
352,40ft,21
353,40ft,22
354,40ft,21
355,40ft,13
356,40ft,14
357,40ft,6
358,40ft,25
359,40ft,22
360,40ft,20
361,40ft,6
362,40ft,5
363,20ft,8
364,20ft,19
365,40ft,22
366,40ft,19
367,40ft,14
368,40ft,8
369,40ft,2
370,40ft,3
371,40ft,22
372,40ft,21
373,40ft,12
374,40ft,8
375,40ft,9
376,40ft,8
377,40ft,8
378,40ft,8
379,40ft,8
380,40ft,9
381,40ft,13
382,40ft,6
383,40ft,5
384,40ft,5
385,20ft,20
386,20ft,22
387,40ft,25
388,40ft,20
389,40ft,21
390,40ft,9
391,40ft,5
392,40ft,19
393,40ft,19
394,40ft,20
395,40ft,13
396,40ft,5
397,40ft,6
398,20ft,14
399,20ft,14
400,40ft,22
401,40ft,9
402,20ft,25
403,20ft,27
404,40ft,2
405,40ft,2
406,20ft,19
407,20ft,26
408,20ft,21
409,20ft,21
410,20ft,13
411,20ft,19
412,40ft,19
413,40ft,2
414,20ft,21
415,20ft,25
416,20ft,13
417,20ft,22
418,40ft,27
419,40ft,20
420,40ft,21
421,40ft,9
422,40ft,9
423,40ft,9
424,40ft,8
425,40ft,8
426,40ft,8
427,40ft,8
428,40ft,6
429,40ft,5
430,40ft,2
431,40ft,3
432,40ft,3
433,20ft,21
434,20ft,22
435,20ft,8
436,20ft,19
437,40ft,19
438,40ft,20
439,40ft,21
440,40ft,20
441,40ft,5
442,20ft,20
