id,tipo,peso
0,40ft,19
1,40ft,22
2,40ft,21
3,40ft,22
4,40ft,22
5,40ft,13
6,40ft,27
7,40ft,29
8,40ft,25
9,40ft,24
10,40ft,26
11,40ft,5
12,40ft,2
13,40ft,3
14,40ft,19
15,40ft,20
16,40ft,20
17,40ft,13
18,40ft,14
19,40ft,8
20,40ft,22
21,20ft,21
22,20ft,21
23,20ft,22
24,20ft,23
25,40ft,22
26,40ft,19
27,40ft,21
28,40ft,2
29,40ft,27
30,40ft,28
31,40ft,28
32,40ft,20
33,40ft,19
34,40ft,13
35,20ft,21
36,20ft,22
37,40ft,19
38,40ft,20
39,40ft,22
40,40ft,19
41,40ft,18
42,40ft,8
43,40ft,9
44,40ft,8
45,40ft,8
46,40ft,5
47,40ft,6
48,20ft,24
49,20ft,27
50,20ft,21
51,20ft,27
52,20ft,9
53,20ft,26
54,40ft,22
55,40ft,2
56,40ft,2
57,40ft,21
58,40ft,23
59,40ft,23
60,40ft,14
61,40ft,13
62,40ft,8
63,40ft,9
64,20ft,21
65,20ft,22
66,40ft,9
67,40ft,5
68,20ft,2
69,20ft,9
70,20ft,3
71,20ft,2
72,40ft,6
73,40ft,27
74,40ft,20
75,40ft,21
76,40ft,20
77,40ft,15
78,40ft,14
79,40ft,14
80,40ft,9
81,40ft,8
82,40ft,8
83,40ft,8
84,20ft,26
85,20ft,25
86,20ft,18
87,20ft,25
88,20ft,23
89,20ft,28
90,40ft,19
91,40ft,13
92,20ft,8
93,20ft,25
94,20ft,21
95,20ft,27
96,20ft,3
97,20ft,12
98,40ft,22
99,40ft,19
100,40ft,22
101,40ft,19
102,40ft,9
103,40ft,8
104,40ft,5
105,20ft,13
106,20ft,28
107,20ft,2
108,20ft,13
109,40ft,9
110,40ft,8
111,40ft,8
112,40ft,6
113,40ft,5
114,40ft,19
115,40ft,14
116,40ft,9
117,40ft,9
118,40ft,9
119,40ft,8
120,40ft,9
121,40ft,15
122,40ft,8
123,40ft,8
124,40ft,9
125,20ft,9
126,20ft,25
127,40ft,21
128,40ft,22
129,40ft,19
130,40ft,21
131,40ft,14
132,40ft,6
133,40ft,29
134,40ft,28
135,40ft,14
136,40ft,27
137,40ft,26
138,40ft,29
139,40ft,21
140,40ft,6
141,40ft,5
142,40ft,5
143,40ft,2
144,40ft,3
145,40ft,25
146,40ft,13
147,20ft,25
148,20ft,27
149,40ft,26
150,40ft,25
151,40ft,21
152,40ft,15
153,40ft,5
154,40ft,6
155,40ft,18
156,40ft,22
157,40ft,23
158,40ft,19
159,40ft,19
160,40ft,20
161,40ft,13
162,20ft,24
163,20ft,29
164,20ft,22
165,20ft,20
166,20ft,21
167,20ft,21
168,40ft,22
169,40ft,22
170,40ft,13
171,40ft,13
172,40ft,6
173,20ft,14
174,20ft,22
175,40ft,13
176,40ft,6
177,40ft,5
178,40ft,6
179,40ft,3
180,40ft,2
181,20ft,2
182,20ft,3
183,20ft,23
184,20ft,26
185,20ft,12
186,20ft,25
187,20ft,2
188,20ft,20
189,40ft,15
190,40ft,15
191,40ft,5
192,40ft,2
193,20ft,19
194,20ft,25
195,40ft,26
196,40ft,25
197,40ft,24
198,40ft,20
199,40ft,9
200,40ft,6
201,20ft,3
202,20ft,19
203,20ft,3
204,20ft,12
205,20ft,3
206,20ft,8
207,40ft,3
208,20ft,3
209,20ft,22
210,20ft,2
211,20ft,15
212,40ft,8
213,40ft,8
214,40ft,6
215,40ft,2
216,20ft,2
217,20ft,3
218,20ft,2
219,20ft,2
220,40ft,2
221,20ft,2
222,20ft,14
223,40ft,12
224,40ft,13
225,40ft,13
226,40ft,13
227,40ft,8
228,40ft,8
229,40ft,6
230,20ft,25
231,20ft,25
232,40ft,24
233,40ft,24
234,40ft,29
235,40ft,29
236,40ft,28
237,40ft,19
238,40ft,22
239,40ft,20
240,40ft,20
241,40ft,21
242,40ft,13
243,40ft,14
244,40ft,14
245,40ft,8
246,40ft,8
247,40ft,9
248,40ft,8
249,40ft,8
250,40ft,9
251,40ft,12
252,40ft,12
253,40ft,8
254,40ft,9
255,40ft,8
256,40ft,8
257,40ft,8
258,40ft,19
259,40ft,21
260,40ft,22
261,40ft,19
262,40ft,14
263,40ft,21
264,40ft,20
265,40ft,22
266,40ft,22
267,40ft,25
268,40ft,28
269,40ft,21
270,40ft,22
271,40ft,14
272,40ft,22
273,40ft,19
274,20ft,29
275,20ft,24
276,20ft,29
277,20ft,24
278,40ft,29
279,40ft,26
280,40ft,21
281,40ft,20
282,40ft,14
283,20ft,26
284,20ft,24
285,20ft,13
286,20ft,20
287,40ft,26
288,40ft,26
289,40ft,27
290,40ft,19
291,40ft,14
292,40ft,21
293,40ft,27
294,40ft,27
295,40ft,20
296,40ft,22
297,40ft,21
298,40ft,19
299,40ft,22
300,40ft,26
301,40ft,27
302,40ft,24
303,40ft,29
304,40ft,14
305,40ft,20
306,40ft,19
307,40ft,19
308,40ft,19
309,40ft,20
310,40ft,19
311,40ft,19
312,40ft,14
313,40ft,12
314,40ft,13
315,40ft,12
316,40ft,13
317,40ft,9
318,40ft,8
319,40ft,2
320,20ft,9
321,20ft,14
322,40ft,21
323,40ft,21
324,40ft,8
325,40ft,8
326,40ft,6
327,40ft,2
328,40ft,27
329,40ft,19
330,20ft,28
331,20ft,24
332,20ft,19
333,20ft,20
334,20ft,22
335,20ft,25
336,20ft,22
337,20ft,22
338,40ft,8
339,20ft,20
340,20ft,20
341,20ft,22
342,20ft,19
343,40ft,9
344,40ft,5
345,40ft,6
346,20ft,22
347,20ft,19
348,40ft,26
349,40ft,21
350,40ft,22
351,40ft,20
352,40ft,13
353,20ft,21
354,20ft,28
355,20ft,19
356,20ft,25
357,20ft,23
358,20ft,27
359,20ft,2
360,20ft,19
361,40ft,22
362,40ft,22
363,20ft,13
364,20ft,28
365,40ft,25
366,40ft,27
367,40ft,29
368,40ft,24
369,40ft,24
370,40ft,22
371,40ft,20
372,40ft,8
373,20ft,9
374,20ft,25
375,40ft,29
376,40ft,26
377,40ft,27
378,40ft,24
379,40ft,27
380,40ft,21
381,40ft,13
382,40ft,15
383,40ft,6
384,40ft,22
385,40ft,14
386,40ft,12
387,40ft,13
388,40ft,8
389,40ft,9
390,40ft,8
391,40ft,9
392,40ft,8
393,40ft,9
394,20ft,3
395,20ft,25
396,40ft,12
397,40ft,12
398,40ft,13
399,40ft,15
400,40ft,13
401,40ft,12
402,40ft,14
403,20ft,2
404,20ft,8
405,20ft,3
406,20ft,3
407,40ft,6
408,40ft,6
409,40ft,6
410,40ft,3
411,40ft,2
412,20ft,20
413,20ft,21
414,40ft,9
415,40ft,8
416,40ft,6
417,40ft,2
418,40ft,3
419,40ft,26
420,40ft,28
421,40ft,25
422,40ft,29
423,40ft,25
424,40ft,28
425,20ft,21
426,20ft,24
427,20ft,21
428,20ft,21
429,20ft,22
430,20ft,26
431,40ft,3
432,40ft,8
433,40ft,8
434,40ft,8
435,40ft,8
436,40ft,8
437,40ft,8
438,40ft,6
439,20ft,14
440,20ft,21
441,20ft,12
442,20ft,21
443,40ft,9
444,40ft,9
445,40ft,5
446,40ft,6
447,40ft,6
448,20ft,14
449,20ft,19
450,20ft,14
451,20ft,19
452,40ft,14
453,40ft,14
454,40ft,9
455,40ft,3
456,40ft,3
457,40ft,9
458,40ft,8
459,40ft,9
460,40ft,8
461,40ft,5
462,40ft,6
463,40ft,2
464,40ft,21
465,40ft,22
466,40ft,27
467,20ft,26
468,20ft,27
469,40ft,28
470,40ft,28
471,40ft,27
472,40ft,19
473,40ft,20
474,40ft,8
475,40ft,21
476,40ft,21
477,40ft,20
478,40ft,22
479,40ft,22
480,40ft,21
481,40ft,22
482,40ft,20
483,40ft,8
484,20ft,20
485,20ft,21
486,20ft,9
487,20ft,19
488,20ft,20
489,20ft,21
490,40ft,20
491,20ft,21
492,20ft,24
493,20ft,19
494,20ft,19
495,40ft,8
496,20ft,3
497,20ft,22
498,40ft,21
499,40ft,13
500,40ft,12
501,40ft,14
502,40ft,14
503,20ft,19
504,20ft,28
505,20ft,13
506,20ft,24
507,40ft,20
508,40ft,14
509,40ft,9
510,40ft,8
511,40ft,2
512,20ft,3
513,20ft,13
514,40ft,14
515,40ft,14
516,40ft,14
517,40ft,14
518,40ft,13
519,40ft,8
520,40ft,13
521,40ft,13
522,40ft,8
523,40ft,9
524,40ft,8
525,40ft,9
526,40ft,8
527,20ft,20
528,20ft,24
529,20ft,15
530,20ft,26
531,40ft,28
532,40ft,29
533,40ft,26
534,40ft,22
535,40ft,20
536,40ft,22
537,40ft,23
538,40ft,21
539,20ft,25
540,20ft,28
541,20ft,25
542,20ft,29
543,20ft,27
544,20ft,25
545,20ft,19
546,20ft,29
547,20ft,19
548,20ft,25
549,40ft,28
550,40ft,22
551,40ft,20
552,40ft,19
553,20ft,14
554,20ft,22
555,20ft,12
556,20ft,20
557,40ft,27
558,40ft,19
559,40ft,15
560,40ft,14
561,40ft,2
562,20ft,8
563,20ft,26
564,20ft,3
565,20ft,26
566,40ft,28
567,40ft,29
568,40ft,19
569,40ft,14
570,20ft,9
571,20ft,19
572,40ft,14
573,40ft,13
574,40ft,9
575,40ft,8
576,40ft,9
577,40ft,25
578,40ft,26
579,40ft,27
580,40ft,27
581,20ft,26
582,20ft,28
583,20ft,19
584,20ft,27
585,40ft,8
586,20ft,25
587,20ft,26
588,20ft,2
589,20ft,22
590,40ft,27
591,40ft,25
592,40ft,18
593,40ft,22
594,40ft,22
595,40ft,22
596,40ft,22
597,40ft,20
598,40ft,12
599,40ft,5
600,20ft,3
601,20ft,19
602,20ft,3
603,20ft,21
604,40ft,14
605,40ft,13
606,40ft,9
607,40ft,6
608,40ft,3
609,40ft,2
610,40ft,14
611,40ft,15
612,40ft,9
613,40ft,9
614,40ft,9
615,40ft,5
616,40ft,5
617,40ft,3
618,20ft,25
619,20ft,26
620,20ft,28
621,20ft,27
622,20ft,18
623,20ft,22
624,40ft,22
625,40ft,20
626,40ft,22
627,40ft,19
628,40ft,9
629,40ft,20
630,40ft,22
631,40ft,21
632,40ft,21
633,40ft,6
634,40ft,5
635,20ft,24
636,20ft,24
637,20ft,23
638,20ft,25
639,20ft,23
640,20ft,13
641,40ft,23
642,40ft,19
643,40ft,22
644,40ft,20
645,40ft,21
646,40ft,14
647,20ft,12
648,20ft,20
649,20ft,12
650,20ft,20
651,20ft,13
652,20ft,15
653,20ft,19
654,20ft,22
655,20ft,19
656,20ft,19
657,20ft,19
658,20ft,19
659,40ft,21
660,40ft,8
661,40ft,9
662,40ft,6
663,40ft,6
664,20ft,2
665,20ft,21
666,20ft,2
667,20ft,19
668,20ft,3
669,20ft,19
670,40ft,19
671,40ft,20
672,40ft,19
673,40ft,19
674,40ft,12
675,20ft,19
676,20ft,24
677,20ft,20
678,20ft,22
679,20ft,9
680,20ft,22
681,40ft,22
682,40ft,19
683,40ft,22
684,40ft,8
685,40ft,6
686,20ft,2
687,20ft,20
688,20ft,2
689,20ft,22
690,20ft,2
691,20ft,9
692,40ft,19
693,40ft,19
694,40ft,19
695,40ft,21
696,40ft,21
697,40ft,20
698,40ft,20
699,40ft,5
700,20ft,9
701,20ft,21
702,20ft,8
703,20ft,13
704,40ft,14
705,40ft,9
706,40ft,2
707,20ft,12
708,20ft,25
709,20ft,8
710,20ft,21
711,40ft,22
712,40ft,22
713,40ft,20
714,40ft,5
715,40ft,3
716,40ft,13
717,40ft,14
718,40ft,14
719,40ft,8
720,40ft,8
721,40ft,8
722,40ft,6
723,40ft,2
724,20ft,20
725,20ft,19
726,40ft,14
727,40ft,9
728,40ft,8
729,40ft,9
730,40ft,8
731,40ft,2
732,40ft,3
733,40ft,2
734,40ft,14
735,40ft,12
736,40ft,12
737,40ft,12
738,40ft,5
739,40ft,3
740,40ft,2
741,40ft,3
742,40ft,12
743,40ft,14
744,40ft,8
745,40ft,8
746,40ft,8
747,40ft,8
748,40ft,6
749,40ft,6
750,40ft,3
751,20ft,22
752,20ft,26
753,20ft,22
754,20ft,19
755,20ft,13
756,20ft,20
757,20ft,3
758,20ft,19
759,40ft,9
760,40ft,9
761,40ft,9
762,40ft,5
763,40ft,5
764,20ft,14
765,20ft,28
766,40ft,24
767,40ft,26
768,40ft,25
769,40ft,27
770,40ft,24
771,40ft,29
772,40ft,24
773,40ft,28
774,20ft,2
775,20ft,8
776,40ft,8
777,40ft,9
778,40ft,6
779,40ft,6
780,40ft,5
781,40ft,6
782,40ft,6
783,40ft,6
784,20ft,13
785,20ft,22
786,40ft,13
787,40ft,14
788,40ft,15
789,40ft,5
790,40ft,24
791,40ft,29
792,40ft,25
793,40ft,21
794,40ft,22
795,40ft,19
796,40ft,21
797,40ft,22
798,40ft,23
799,20ft,12
800,20ft,20
801,20ft,8
802,20ft,15
803,40ft,23
804,40ft,8
805,40ft,9
806,40ft,8
807,40ft,9
808,40ft,6
809,20ft,20
810,20ft,21
811,20ft,8
812,20ft,21
813,40ft,13
814,40ft,13
815,40ft,13
816,40ft,2
817,20ft,15
818,20ft,20
819,40ft,15
820,40ft,8
821,40ft,5
822,40ft,29
823,40ft,12
824,40ft,15
825,40ft,9
826,40ft,8
827,40ft,8
828,40ft,6
829,40ft,6
830,20ft,22
831,20ft,24
832,40ft,22
833,40ft,21
834,40ft,14
835,40ft,13
836,40ft,14
837,40ft,12
838,40ft,13
839,20ft,22
840,20ft,23
841,20ft,13
842,20ft,20
843,40ft,22
844,40ft,22
845,40ft,13
846,40ft,15
847,40ft,9
848,40ft,2
849,40ft,19
850,40ft,29
851,40ft,22
852,40ft,22
853,40ft,21
854,40ft,20
855,40ft,20
856,40ft,20
857,40ft,21
858,40ft,22
859,20ft,14
860,20ft,19
861,20ft,13
862,20ft,13
863,20ft,13
864,20ft,15
