id,tipo,peso
0,20ft,26
1,20ft,29
2,20ft,20
3,20ft,22
4,20ft,20
5,20ft,21
6,20ft,13
7,20ft,14
8,40ft,13
9,40ft,9
10,20ft,9
11,20ft,19
12,40ft,14
13,40ft,13
14,20ft,9
15,20ft,27
16,20ft,9
17,20ft,22
18,40ft,21
19,20ft,27
20,20ft,28
21,40ft,27
22,40ft,26
23,40ft,19
24,40ft,19
25,40ft,9
26,40ft,29
27,20ft,20
28,20ft,27
29,40ft,27
30,40ft,12
31,40ft,9
32,40ft,8
33,40ft,6
34,40ft,5
35,40ft,29
36,40ft,8
37,40ft,27
38,40ft,29
39,40ft,19
40,40ft,21
41,40ft,21
42,20ft,26
43,20ft,25
44,40ft,20
45,40ft,19
46,40ft,15
47,40ft,15
48,40ft,9
49,40ft,14
50,40ft,12
51,40ft,12
52,40ft,6
53,20ft,2
54,20ft,25
55,40ft,21
56,40ft,13
57,40ft,9
58,40ft,9
59,40ft,6
60,40ft,25
61,40ft,24
62,40ft,22
63,40ft,21
64,40ft,5
65,20ft,20
66,20ft,25
67,20ft,19
68,20ft,19
69,20ft,14
70,20ft,22
71,20ft,15
72,20ft,2
73,40ft,15
74,40ft,13
75,40ft,29
76,40ft,25
77,40ft,25
78,40ft,25
79,20ft,22
80,20ft,25
81,40ft,26
82,40ft,20
83,40ft,19
84,40ft,8
85,40ft,8
86,20ft,23
87,20ft,22
88,40ft,28
89,40ft,27
90,40ft,22
91,40ft,13
92,40ft,8
93,40ft,14
94,40ft,12
95,40ft,8
96,40ft,8
97,40ft,8
98,40ft,8
99,40ft,9
100,40ft,5
101,40ft,9
102,40ft,9
103,40ft,9
104,40ft,8
105,40ft,2
106,40ft,25
107,40ft,19
108,40ft,22
109,40ft,21
110,40ft,19
111,40ft,19
112,20ft,22
113,20ft,20
114,20ft,21
115,20ft,20
116,20ft,21
117,20ft,22
118,20ft,20
119,20ft,21
120,40ft,19
121,40ft,19
122,40ft,6
123,40ft,6
124,40ft,6
125,40ft,3
126,20ft,13
127,20ft,12
128,40ft,22
129,40ft,12
130,40ft,14
131,40ft,13
132,40ft,9
133,40ft,5
134,40ft,5
135,20ft,20
136,20ft,26
137,20ft,22
138,20ft,27
139,20ft,22
140,20ft,26
141,20ft,21
142,20ft,21
143,20ft,20
144,20ft,21
145,40ft,29
146,40ft,26
147,40ft,28
148,40ft,9
149,40ft,8
150,40ft,9
151,40ft,9
152,40ft,3
153,40ft,2
154,20ft,25
155,20ft,26
156,20ft,21
157,20ft,28
158,40ft,26
159,40ft,6
160,40ft,6
161,40ft,26
162,40ft,22
163,40ft,22
164,40ft,21
165,40ft,20
166,40ft,19
167,40ft,13
168,40ft,14
169,40ft,14
170,20ft,20
171,20ft,25
172,40ft,24
173,40ft,14
174,40ft,8
175,40ft,6
176,40ft,5
177,20ft,23
178,20ft,25
179,20ft,13
180,20ft,20
181,40ft,28
182,40ft,24
183,40ft,26
184,40ft,8
185,40ft,28
186,20ft,2
187,20ft,3
188,40ft,6
189,40ft,5
190,20ft,19
191,20ft,29
192,40ft,26
193,40ft,20
194,40ft,8
195,40ft,5
196,40ft,5
197,40ft,6
198,40ft,25
199,40ft,29
200,40ft,6
201,40ft,5
202,40ft,5
203,40ft,6
204,40ft,6
205,40ft,2
206,40ft,21
207,40ft,20
208,40ft,22
209,40ft,15
210,40ft,14
211,40ft,6
212,20ft,20
213,20ft,26
214,20ft,2
215,20ft,27
216,40ft,24
217,40ft,24
218,40ft,19
219,40ft,15
220,40ft,15
221,40ft,8
222,40ft,9
223,40ft,6
224,40ft,29
225,40ft,29
226,40ft,3
227,40ft,5
228,20ft,13
229,20ft,23
230,40ft,14
231,40ft,13
232,40ft,13
233,40ft,9
234,40ft,8
235,40ft,8
236,40ft,20
237,40ft,15
238,40ft,14
239,40ft,13
240,40ft,8
241,40ft,9
242,40ft,9
243,40ft,9
244,40ft,20
245,40ft,8
246,40ft,9
247,40ft,8
248,40ft,9
249,40ft,8
250,40ft,8
251,40ft,9
252,40ft,8
253,40ft,5
254,40ft,5
255,40ft,3
256,20ft,25
257,20ft,26
258,40ft,27
259,40ft,25
260,40ft,21
261,40ft,24
262,40ft,26
263,40ft,25
264,20ft,20
265,20ft,19
266,40ft,27
267,40ft,12
268,40ft,13
269,40ft,14
270,40ft,14
271,20ft,20
272,20ft,22
273,40ft,28
274,40ft,24
275,40ft,27
276,20ft,26
277,20ft,24
278,20ft,26
279,20ft,29
280,20ft,25
281,20ft,25
282,40ft,28
283,40ft,22
284,40ft,20
285,40ft,22
286,40ft,2
287,20ft,20
288,20ft,29
289,20ft,21
290,20ft,25
291,20ft,19
292,20ft,29
293,20ft,2
294,20ft,20
295,40ft,20
296,20ft,20
297,20ft,28
298,20ft,12
299,20ft,25
300,20ft,12
301,20ft,28
302,20ft,14
303,20ft,28
304,20ft,2
305,20ft,19
306,40ft,19
307,40ft,21
308,40ft,9
309,40ft,8
310,40ft,5
311,40ft,6
312,40ft,5
313,40ft,6
314,40ft,6
315,40ft,2
316,40ft,3
317,40ft,14
318,40ft,14
319,40ft,13
320,40ft,12
321,40ft,14
322,40ft,14
323,40ft,13
324,40ft,20
325,40ft,13
326,40ft,8
327,40ft,6
328,40ft,6
329,40ft,5
330,40ft,3
331,40ft,2
332,40ft,14
333,40ft,9
334,40ft,5
335,40ft,6
336,40ft,6
337,40ft,6
338,40ft,6
339,20ft,21
340,20ft,26
341,20ft,9
342,20ft,27
343,20ft,2
344,20ft,20
345,40ft,19
346,40ft,22
347,40ft,14
348,20ft,24
349,20ft,24
350,20ft,27
351,20ft,27
352,40ft,22
353,20ft,20
354,20ft,24
355,20ft,21
356,20ft,21
357,20ft,22
358,20ft,20
359,20ft,24
360,20ft,25
361,20ft,28
362,20ft,28
363,20ft,29
364,20ft,24
365,20ft,19
366,20ft,20
367,40ft,13
368,40ft,14
369,40ft,9
370,40ft,25
371,40ft,27
372,20ft,21
373,20ft,21
374,40ft,27
375,40ft,28
376,40ft,13
377,40ft,8
378,40ft,9
379,40ft,9
380,20ft,27
381,20ft,25
382,20ft,25
383,20ft,28
384,20ft,27
385,20ft,24
386,20ft,21
387,20ft,27
388,20ft,20
389,20ft,25
390,40ft,24
391,40ft,19
