id,tipo,peso
0,20ft,21
1,20ft,25
2,20ft,23
3,20ft,20
4,20ft,13
5,20ft,19
6,40ft,6
7,40ft,5
8,40ft,3
9,40ft,20
10,40ft,22
11,40ft,21
12,40ft,9
13,40ft,2
14,40ft,3
15,20ft,22
16,20ft,19
17,40ft,21
18,40ft,20
19,40ft,19
20,40ft,20
21,40ft,2
22,40ft,2
23,20ft,20
24,20ft,29
25,20ft,14
26,20ft,26
27,40ft,24
28,20ft,19
29,20ft,26
30,20ft,21
31,20ft,19
32,20ft,21
33,20ft,19
34,20ft,21
35,20ft,20
36,20ft,22
37,20ft,22
38,40ft,3
39,40ft,3
40,20ft,2
41,20ft,3
42,40ft,3
43,20ft,20
44,20ft,25
45,20ft,20
46,20ft,25
47,40ft,28
48,40ft,27
49,40ft,20
50,40ft,19
51,20ft,27
52,20ft,28
53,20ft,20
54,20ft,27
55,20ft,20
56,20ft,25
57,20ft,19
58,20ft,13
59,20ft,28
60,20ft,28
61,20ft,20
62,20ft,20
63,20ft,19
64,20ft,19
65,20ft,20
66,20ft,19
67,40ft,9
68,20ft,19
69,20ft,25
70,20ft,3
71,20ft,25
72,40ft,21
73,40ft,20
74,40ft,5
75,40ft,5
76,20ft,19
77,20ft,29
78,20ft,21
79,20ft,20
80,20ft,12
81,20ft,25
82,20ft,14
83,20ft,28
84,20ft,14
85,20ft,19
86,20ft,2
87,20ft,14
88,40ft,2
89,20ft,21
90,20ft,25
91,40ft,27
92,40ft,26
93,40ft,27
94,40ft,27
95,40ft,22
96,40ft,20
97,40ft,19
98,40ft,14
99,20ft,14
100,20ft,24
101,40ft,28
102,40ft,25
103,40ft,9
104,40ft,9
105,40ft,6
106,40ft,5
107,20ft,21
108,20ft,22
109,40ft,28
110,40ft,23
111,40ft,22
112,20ft,28
113,20ft,26
114,20ft,21
115,20ft,28
116,20ft,14
117,20ft,13
118,40ft,28
119,40ft,24
120,20ft,20
121,20ft,22
122,20ft,2
123,20ft,22
124,40ft,14
125,20ft,21
126,20ft,28
127,40ft,25
128,40ft,26
129,40ft,26
130,20ft,20
131,20ft,25
132,20ft,22
133,20ft,21
134,40ft,20
135,40ft,13
136,40ft,13
137,40ft,5
138,20ft,20
139,20ft,29
140,40ft,21
141,40ft,22
142,40ft,21
143,40ft,20
144,40ft,18
145,40ft,18
146,40ft,19
147,40ft,21
148,40ft,22
149,40ft,22
150,40ft,22
151,20ft,27
152,20ft,28
153,20ft,19
154,20ft,22
155,20ft,20
156,20ft,20
157,20ft,19
158,20ft,20
159,20ft,19
160,20ft,20
161,20ft,22
162,20ft,22
163,20ft,2
164,20ft,19
165,20ft,28
166,20ft,25
167,20ft,26
168,20ft,28
169,20ft,28
170,20ft,29
171,20ft,28
172,20ft,27
173,40ft,18
174,20ft,28
175,20ft,26
176,20ft,25
177,20ft,28
178,20ft,28
179,20ft,26
180,20ft,25
181,20ft,29
182,20ft,20
183,20ft,20
184,20ft,22
185,20ft,23
186,40ft,28
187,20ft,28
188,20ft,28
189,20ft,27
190,20ft,28
191,20ft,20
192,20ft,24
193,20ft,22
194,20ft,25
195,20ft,20
196,20ft,26
197,40ft,26
198,40ft,23
199,40ft,21
200,20ft,21
201,20ft,26
202,20ft,19
203,20ft,24
204,20ft,13
205,20ft,22
206,20ft,14
207,20ft,18
208,40ft,27
209,40ft,28
210,40ft,28
211,40ft,26
212,20ft,21
213,20ft,20
214,20ft,19
215,20ft,21
216,20ft,20
217,20ft,22
218,20ft,13
219,20ft,21
220,40ft,22
221,40ft,22
222,40ft,3
223,20ft,21
224,20ft,28
225,40ft,29
226,40ft,25
227,40ft,13
228,40ft,5
229,40ft,6
230,40ft,5
231,20ft,22
232,20ft,28
233,20ft,20
234,20ft,28
235,20ft,19
236,20ft,19
237,20ft,22
238,20ft,19
239,20ft,13
240,20ft,19
241,20ft,9
242,20ft,21
243,40ft,21
244,40ft,19
245,40ft,28
246,40ft,5
247,40ft,5
248,40ft,2
249,40ft,2
250,40ft,2
251,40ft,2
252,40ft,26
253,40ft,24
254,40ft,26
255,40ft,20
256,20ft,22
257,20ft,29
258,20ft,20
259,20ft,21
260,20ft,20
261,20ft,22
262,40ft,25
263,40ft,22
264,20ft,21
265,20ft,22
266,40ft,22
267,40ft,18
268,20ft,20
269,20ft,20
270,20ft,19
271,20ft,19
272,40ft,28
273,40ft,26
274,40ft,21
275,40ft,19
276,40ft,22
277,20ft,27
278,20ft,24
279,20ft,21
280,20ft,25
281,40ft,25
282,40ft,26
283,40ft,27
284,40ft,26
285,20ft,12
286,20ft,21
287,40ft,13
288,40ft,6
289,20ft,28
290,20ft,28
291,20ft,22
292,20ft,27
293,40ft,15
294,40ft,13
295,40ft,8
296,20ft,29
297,20ft,25
298,20ft,28
299,20ft,26
300,40ft,3
301,40ft,3
302,40ft,22
303,40ft,22
304,40ft,20
305,40ft,21
306,20ft,20
307,20ft,25
308,20ft,22
309,20ft,25
310,20ft,19
311,20ft,28
312,20ft,14
313,20ft,24
314,40ft,19
315,20ft,22
316,20ft,28
317,20ft,20
318,20ft,28
319,20ft,20
320,20ft,27
321,40ft,22
322,40ft,21
323,20ft,19
324,20ft,19
325,40ft,29
326,40ft,24
327,20ft,20
328,20ft,27
329,20ft,19
330,20ft,19
331,40ft,21
332,40ft,19
333,40ft,9
334,20ft,19
335,20ft,25
336,20ft,20
337,20ft,20
338,40ft,8
339,40ft,9
340,40ft,6
341,20ft,24
342,20ft,27
343,20ft,21
344,20ft,28
345,20ft,2
346,20ft,26
347,40ft,8
348,40ft,8
349,40ft,6
350,40ft,6
351,20ft,22
352,20ft,27
353,20ft,2
354,20ft,20
355,40ft,8
356,40ft,5
357,40ft,6
358,40ft,5
359,40ft,6
360,40ft,3
361,20ft,19
362,20ft,28
363,20ft,21
364,20ft,26
365,20ft,21
366,20ft,21
367,20ft,22
368,20ft,25
369,20ft,20
370,20ft,26
371,20ft,22
372,20ft,25
373,20ft,22
374,20ft,24
375,20ft,23
376,20ft,29
377,20ft,21
378,20ft,21
379,20ft,22
380,20ft,21
381,20ft,8
382,20ft,20
383,20ft,2
384,20ft,13
385,40ft,25
386,40ft,26
387,40ft,21
388,40ft,20
389,40ft,21
390,40ft,14
391,40ft,13
392,40ft,5
393,40ft,2
394,40ft,26
395,40ft,19
396,40ft,9
397,40ft,5
398,40ft,5
399,40ft,5
400,40ft,6
401,20ft,8
402,20ft,13
403,40ft,8
404,40ft,9
405,40ft,9
406,40ft,8
407,40ft,9
408,40ft,9
409,40ft,8
410,40ft,29
411,40ft,20
412,40ft,14
413,40ft,12
414,40ft,15
415,40ft,9
416,40ft,5
417,40ft,3
418,40ft,2
419,20ft,9
420,20ft,8
421,40ft,12
422,40ft,13
423,40ft,9
424,40ft,9
425,40ft,8
426,40ft,9
427,40ft,6
428,40ft,3
429,20ft,19
430,20ft,29
431,20ft,19
432,20ft,26
433,20ft,21
434,20ft,19
435,20ft,20
436,20ft,22
437,20ft,21
438,20ft,21
439,40ft,26
440,40ft,24
441,40ft,28
442,20ft,29
443,20ft,27
444,20ft,9
445,20ft,24
446,40ft,22
447,40ft,21
448,40ft,12
449,40ft,12
450,40ft,9
451,40ft,3
452,40ft,3
453,20ft,22
454,20ft,19
455,40ft,25
456,40ft,26
457,40ft,28
458,40ft,27
459,40ft,22
460,40ft,13
461,20ft,21
462,20ft,22
463,20ft,20
464,20ft,21
465,20ft,20
466,20ft,23
467,40ft,27
468,40ft,28
469,40ft,19
470,40ft,22
471,40ft,21
472,20ft,22
473,20ft,28
474,20ft,21
475,20ft,20
476,20ft,21
477,20ft,19
478,20ft,19
479,20ft,20
480,20ft,22
481,20ft,13
482,40ft,26
483,40ft,6
484,40ft,27
485,40ft,24
486,40ft,28
487,40ft,26
488,40ft,24
489,40ft,20
490,40ft,21
491,40ft,20
492,40ft,21
493,40ft,19
494,40ft,6
495,20ft,2
496,20ft,27
497,20ft,2
498,20ft,14
499,40ft,6
500,40ft,6
501,40ft,5
502,40ft,5
503,40ft,6
504,40ft,6
505,40ft,5
506,20ft,20
507,20ft,28
508,20ft,22
509,20ft,24
510,20ft,22
511,20ft,24
512,40ft,29
513,40ft,28
514,40ft,25
515,40ft,29
516,40ft,25
517,40ft,25
518,20ft,22
519,20ft,22
520,40ft,28
521,40ft,24
522,40ft,28
523,40ft,26
524,40ft,28
525,40ft,27
526,40ft,21
527,20ft,21
528,20ft,28
529,20ft,20
530,20ft,27
531,20ft,19
532,20ft,26
533,20ft,13
534,20ft,25
535,20ft,12
536,20ft,21
537,40ft,25
538,40ft,24
539,40ft,28
540,40ft,28
541,40ft,25
542,20ft,21
543,20ft,21
544,20ft,20
545,20ft,19
546,20ft,22
547,20ft,20
548,40ft,19
549,40ft,21
550,40ft,19
551,40ft,20
552,40ft,19
553,20ft,18
554,20ft,25
555,20ft,20
556,20ft,21
557,40ft,27
558,40ft,27
559,40ft,22
560,40ft,12
561,20ft,2
562,20ft,28
563,40ft,29
564,40ft,29
565,40ft,22
566,20ft,9
567,20ft,15
568,40ft,20
569,40ft,13
570,40ft,12
571,20ft,29
572,20ft,27
573,20ft,28
574,20ft,26
575,40ft,22
576,40ft,21
577,20ft,19
578,20ft,22
579,40ft,21
580,40ft,5
581,20ft,29
582,20ft,28
583,20ft,19
584,20ft,27
585,20ft,9
586,20ft,26
587,40ft,14
588,40ft,2
589,20ft,26
590,20ft,26
591,20ft,24
592,20ft,26
593,20ft,28
594,20ft,28
595,20ft,25
596,20ft,27
597,40ft,8
598,20ft,27
599,20ft,29
600,20ft,22
601,20ft,25
602,20ft,22
603,20ft,27
604,20ft,22
605,20ft,19
606,20ft,20
607,20ft,15
608,20ft,19
609,20ft,21
610,40ft,27
611,40ft,25
612,40ft,24
613,40ft,27
614,20ft,21
615,20ft,19
616,20ft,19
617,20ft,22
618,20ft,20
619,20ft,22
620,20ft,22
621,20ft,19
622,20ft,8
623,20ft,20
624,20ft,19
625,20ft,26
626,20ft,19
627,20ft,25
628,20ft,21
629,20ft,28
630,20ft,14
631,20ft,28
632,40ft,6
633,20ft,3
634,20ft,19
635,40ft,6
636,40ft,5
637,40ft,5
638,40ft,5
639,20ft,19
640,20ft,20
641,20ft,3
642,20ft,22
643,40ft,6
644,40ft,6
645,40ft,5
646,40ft,6
647,40ft,6
648,40ft,3
649,20ft,21
650,20ft,26
651,20ft,20
652,20ft,19
653,20ft,20
654,20ft,21
655,20ft,22
656,20ft,20
657,20ft,20
658,20ft,18
659,20ft,19
660,20ft,21
661,20ft,19
662,20ft,19
663,20ft,19
664,20ft,21
665,20ft,22
666,20ft,20
667,20ft,9
668,20ft,29
669,40ft,25
670,40ft,27
671,40ft,19
672,40ft,13
673,40ft,9
674,40ft,6
675,40ft,3
676,20ft,19
677,20ft,25
678,20ft,13
679,20ft,27
680,20ft,2
681,20ft,22
682,20ft,3
683,20ft,20
684,40ft,5
685,40ft,5
686,40ft,6
687,40ft,5
688,20ft,25
689,20ft,24
690,40ft,27
691,40ft,15
692,40ft,14
693,40ft,15
694,40ft,13
695,40ft,9
696,40ft,5
697,40ft,2
698,20ft,27
699,20ft,28
700,20ft,28
701,20ft,26
702,40ft,9
703,40ft,8
704,40ft,8
705,40ft,8
706,40ft,9
707,40ft,9
708,40ft,5
709,20ft,24
710,20ft,29
711,20ft,27
712,20ft,26
713,20ft,27
714,20ft,26
715,20ft,27
716,20ft,28
717,20ft,15
718,20ft,29
719,40ft,19
720,40ft,21
721,40ft,5
722,40ft,22
723,40ft,22
724,40ft,19
725,40ft,19
726,40ft,8
727,40ft,5
728,40ft,6
729,40ft,5
730,20ft,3
731,20ft,14
732,20ft,2
733,20ft,13
734,20ft,3
735,20ft,3
736,20ft,3
737,20ft,3
738,20ft,13
739,20ft,13
740,40ft,9
741,40ft,9
742,40ft,9
743,40ft,9
744,40ft,6
745,40ft,6
746,40ft,3
747,20ft,2
748,20ft,22
749,40ft,9
750,40ft,9
751,40ft,5
752,40ft,6
753,40ft,6
754,40ft,6
755,40ft,3
756,20ft,23
757,20ft,27
758,20ft,21
759,20ft,28
760,20ft,19
761,20ft,25
762,20ft,21
763,20ft,25
764,20ft,19
765,20ft,21
766,20ft,19
767,20ft,22
768,20ft,21
769,20ft,22
770,40ft,20
771,20ft,29
772,20ft,29
773,40ft,27
774,40ft,29
775,40ft,28
776,40ft,25
777,40ft,24
778,40ft,26
779,40ft,25
780,20ft,2
781,20ft,12
782,40ft,8
783,40ft,8
784,40ft,8
785,40ft,8
786,40ft,5
787,40ft,6
788,40ft,5
789,20ft,27
790,20ft,26
791,20ft,25
792,20ft,25
793,20ft,21
794,20ft,26
795,20ft,21
796,20ft,24
797,20ft,21
798,20ft,27
799,20ft,12
800,20ft,26
801,40ft,24
802,40ft,25
803,40ft,24
804,40ft,28
805,40ft,26
806,40ft,27
807,40ft,27
808,40ft,21
809,40ft,15
810,40ft,15
811,40ft,13
812,20ft,3
813,20ft,2
814,40ft,6
815,40ft,3
816,20ft,19
817,20ft,24
818,20ft,12
819,20ft,26
820,20ft,12
821,20ft,28
822,20ft,2
823,20ft,22
824,40ft,20
825,40ft,22
826,40ft,13
827,40ft,6
828,20ft,22
829,20ft,19
830,40ft,25
831,40ft,29
832,40ft,27
833,40ft,13
834,40ft,13
835,40ft,13
836,40ft,5
837,20ft,21
838,20ft,29
839,20ft,12
840,20ft,27
841,20ft,3
842,20ft,28
843,40ft,21
844,40ft,14
845,40ft,13
846,40ft,6
847,40ft,3
848,20ft,14
849,20ft,29
850,20ft,13
851,20ft,22
852,20ft,9
853,20ft,21
854,20ft,8
855,20ft,13
856,40ft,8
857,40ft,8
858,40ft,8
859,40ft,9
860,20ft,23
861,20ft,24
862,20ft,20
863,20ft,24
864,40ft,8
865,40ft,5
866,40ft,6
867,40ft,2
868,40ft,2
869,40ft,2
870,40ft,2
871,20ft,28
872,20ft,28
873,20ft,29
874,20ft,27
875,40ft,27
876,40ft,26
877,40ft,26
