id,tipo,peso
0,40ft,20
1,40ft,22
2,40ft,22
3,40ft,20
4,40ft,15
5,40ft,8
6,40ft,8
7,20ft,3
8,20ft,22
9,40ft,19
10,40ft,22
11,40ft,22
12,20ft,20
13,20ft,28
14,20ft,21
15,20ft,20
16,20ft,21
17,20ft,14
18,40ft,9
19,20ft,20
20,20ft,22
21,20ft,22
22,20ft,21
23,40ft,21
24,20ft,20
25,20ft,22
26,20ft,19
27,20ft,21
28,20ft,27
29,20ft,26
30,40ft,21
31,40ft,15
32,40ft,14
33,40ft,9
34,40ft,5
35,20ft,22
36,20ft,21
37,40ft,8
38,20ft,14
39,20ft,21
40,40ft,20
41,40ft,15
42,20ft,18
43,20ft,22
44,20ft,20
45,20ft,22
46,20ft,3
47,20ft,20
48,20ft,24
49,20ft,24
50,40ft,27
51,40ft,19
52,40ft,22
53,20ft,2
54,20ft,21
55,40ft,9
56,40ft,2
57,40ft,2
58,40ft,27
59,40ft,23
60,40ft,20
61,40ft,13
62,40ft,20
63,40ft,20
64,40ft,22
65,40ft,22
66,20ft,23
67,20ft,26
68,40ft,22
69,40ft,21
70,40ft,15
71,20ft,19
72,20ft,19
73,20ft,22
74,20ft,22
75,40ft,6
76,40ft,6
77,20ft,20
78,20ft,26
79,20ft,21
80,20ft,19
81,20ft,22
82,20ft,19
83,40ft,9
84,40ft,5
85,40ft,9
86,40ft,8
87,20ft,2
88,20ft,13
89,40ft,13
90,40ft,14
91,20ft,29
92,20ft,29
93,20ft,25
94,20ft,29
95,20ft,21
96,20ft,24
97,20ft,22
98,20ft,12
99,40ft,19
100,40ft,20
101,40ft,13
102,40ft,12
103,40ft,9
104,40ft,13
105,40ft,12
106,40ft,14
107,40ft,12
108,40ft,15
109,40ft,14
110,40ft,9
111,40ft,9
112,40ft,6
113,40ft,6
114,40ft,6
115,20ft,25
116,20ft,28
117,20ft,19
118,20ft,29
119,20ft,19
120,20ft,25
121,40ft,6
122,40ft,20
123,40ft,19
124,20ft,24
125,20ft,28
126,20ft,22
127,20ft,19
128,40ft,8
129,40ft,9
130,40ft,6
131,40ft,2
132,20ft,20
133,20ft,25
134,20ft,3
135,20ft,25
136,40ft,6
137,40ft,5
138,40ft,13
