id,tipo,peso
0,40ft,6
1,40ft,5
2,40ft,3
3,40ft,3
4,20ft,22
5,20ft,27
6,20ft,12
7,20ft,20
8,40ft,21
9,40ft,13
10,20ft,29
11,20ft,25
12,20ft,20
13,20ft,21
14,40ft,28
15,40ft,8
16,40ft,20
17,40ft,22
18,40ft,14
19,40ft,13
20,40ft,19
21,40ft,21
22,40ft,15
23,40ft,8
24,40ft,6
25,40ft,2
26,40ft,24
27,40ft,26
28,40ft,9
29,40ft,29
30,40ft,28
31,40ft,22
32,40ft,22
33,20ft,26
34,20ft,29
35,40ft,22
36,40ft,22
37,40ft,20
38,20ft,21
39,20ft,26
40,40ft,19
41,40ft,19
42,40ft,22
43,40ft,21
44,40ft,19
45,40ft,20
46,40ft,20
47,40ft,27
48,40ft,28
49,40ft,20
50,40ft,22
51,40ft,27
52,40ft,29
53,40ft,28
54,40ft,2
55,40ft,24
56,40ft,27
57,40ft,24
58,40ft,9
59,20ft,22
60,20ft,28
61,20ft,21
62,20ft,14
63,40ft,27
64,40ft,20
65,40ft,24
66,40ft,28
67,40ft,19
68,20ft,3
69,20ft,22
70,40ft,14
71,20ft,13
72,20ft,26
73,20ft,2
74,20ft,28
75,40ft,9
76,20ft,21
77,20ft,25
78,20ft,19
79,20ft,25
80,20ft,20
81,20ft,21
82,40ft,14
83,40ft,20
84,40ft,19
85,40ft,8
86,40ft,8
87,40ft,8
88,40ft,20
89,40ft,21
90,40ft,19
91,40ft,19
92,40ft,21
93,40ft,28
94,40ft,28
95,40ft,24
96,40ft,29
97,40ft,26
98,40ft,21
99,40ft,19
100,40ft,8
101,40ft,9
102,40ft,8
103,40ft,6
104,40ft,5
105,40ft,2
106,40ft,28
107,40ft,26
108,40ft,15
109,20ft,28
110,20ft,28
111,20ft,19
112,20ft,22
113,20ft,22
114,20ft,18
115,20ft,14
116,20ft,19
117,20ft,8
118,20ft,23
119,40ft,9
120,20ft,20
121,20ft,21
122,40ft,25
123,40ft,28
124,40ft,8
125,20ft,22
126,20ft,27
127,40ft,24
128,40ft,25
129,40ft,19
130,20ft,21
131,20ft,19
132,20ft,19
133,20ft,20
134,20ft,12
135,20ft,14
136,40ft,19
137,20ft,21
138,20ft,25
139,20ft,20
140,20ft,13
141,40ft,25
142,40ft,27
143,40ft,13
144,40ft,12
145,40ft,13
146,20ft,13
147,20ft,29
148,20ft,13
149,20ft,20
150,40ft,25
151,40ft,19
152,20ft,20
153,20ft,21
154,40ft,25
155,40ft,20
156,40ft,22
157,40ft,15
158,40ft,8
159,40ft,25
160,40ft,27
161,40ft,28
162,40ft,27
163,40ft,20
164,40ft,19
165,40ft,29
166,40ft,21
167,40ft,21
168,40ft,19
169,40ft,21
170,40ft,22
171,20ft,12
172,20ft,14
173,40ft,8
174,40ft,6
175,40ft,5
176,40ft,6
177,40ft,3
178,40ft,14
179,40ft,5
180,40ft,6
181,40ft,6
182,40ft,5
183,40ft,5
184,40ft,21
185,40ft,9
186,40ft,8
187,40ft,9
188,40ft,9
189,20ft,2
190,20ft,2
191,20ft,3
192,20ft,3
193,20ft,26
194,20ft,25
195,40ft,15
196,20ft,29
197,20ft,26
198,40ft,21
199,40ft,13
200,40ft,13
201,20ft,20
202,20ft,26
203,20ft,12
204,20ft,27
205,40ft,26
206,40ft,19
207,40ft,21
208,40ft,14
209,20ft,20
210,20ft,21
211,20ft,22
212,20ft,20
213,40ft,22
214,40ft,19
215,40ft,20
216,40ft,14
217,40ft,9
218,40ft,6
219,20ft,20
220,20ft,21
221,40ft,28
222,40ft,21
223,40ft,20
224,40ft,22
225,40ft,20
226,40ft,21
227,20ft,29
228,20ft,24
229,20ft,19
230,20ft,29
231,20ft,20
232,20ft,25
233,40ft,28
234,40ft,28
235,40ft,26
236,40ft,21
237,20ft,24
238,20ft,25
239,20ft,24
240,20ft,22
241,40ft,28
242,40ft,26
243,40ft,19
244,40ft,22
245,40ft,19
246,20ft,27
247,20ft,26
248,20ft,19
249,20ft,29
250,20ft,20
251,20ft,26
252,20ft,3
253,20ft,27
254,20ft,3
255,20ft,24
256,40ft,24
257,40ft,19
258,40ft,5
259,20ft,19
260,20ft,20
261,40ft,22
262,40ft,20
263,40ft,20
264,40ft,22
265,40ft,15
266,40ft,14
267,20ft,21
268,20ft,26
269,20ft,22
270,20ft,22
271,20ft,22
272,20ft,21
273,20ft,13
274,20ft,20
275,20ft,3
276,20ft,20
277,40ft,14
278,40ft,21
279,40ft,20
280,20ft,3
281,20ft,19
282,40ft,6
283,40ft,6
284,40ft,3
285,20ft,9
286,20ft,25
287,40ft,22
288,40ft,19
289,40ft,9
290,20ft,25
291,20ft,29
292,20ft,23
293,20ft,24
294,40ft,13
295,40ft,9
296,20ft,20
297,20ft,22
298,40ft,26
299,40ft,21
300,20ft,19
301,20ft,13
302,40ft,25
303,40ft,24
304,40ft,19
305,20ft,22
306,20ft,26
307,40ft,24
308,40ft,27
309,40ft,22
310,20ft,8
311,20ft,19
312,40ft,24
313,40ft,26
314,40ft,24
315,40ft,26
316,40ft,20
317,40ft,15
318,40ft,6
319,40ft,6
320,40ft,22
321,40ft,22
322,40ft,21
323,40ft,19
324,40ft,6
325,40ft,20
326,40ft,19
327,40ft,19
328,40ft,19
329,40ft,9
330,40ft,6
331,40ft,15
332,40ft,13
333,40ft,15
334,40ft,15
335,40ft,13
336,40ft,5
337,40ft,2
338,20ft,20
339,20ft,24
340,20ft,21
341,20ft,25
342,40ft,27
343,40ft,27
344,40ft,22
345,40ft,19
346,40ft,19
347,40ft,19
348,20ft,20
349,20ft,24
350,20ft,14
351,20ft,25
352,40ft,21
353,40ft,19
354,40ft,19
355,40ft,13
356,40ft,15
357,40ft,12
358,20ft,22
359,20ft,25
360,20ft,2
361,20ft,29
362,40ft,26
363,40ft,27
364,40ft,25
365,40ft,25
366,40ft,24
367,40ft,20
368,40ft,25
369,40ft,18
370,40ft,20
371,40ft,22
372,40ft,9
373,40ft,6
374,40ft,5
375,40ft,6
376,20ft,20
377,20ft,28
378,40ft,26
379,40ft,25
380,40ft,26
381,40ft,12
382,40ft,14
383,40ft,3
384,40ft,25
385,40ft,25
386,40ft,25
387,40ft,24
388,40ft,26
389,20ft,28
390,20ft,25
391,20ft,20
392,20ft,24
393,20ft,20
394,20ft,26
395,40ft,24
396,20ft,21
397,20ft,24
398,40ft,24
399,40ft,27
400,40ft,19
401,40ft,21
402,40ft,24
403,40ft,27
404,40ft,27
405,40ft,26
406,20ft,20
407,20ft,27
408,40ft,28
409,40ft,22
410,40ft,19
411,40ft,22
412,40ft,24
413,40ft,21
414,40ft,22
415,40ft,14
416,40ft,6
417,40ft,26
418,40ft,28
419,40ft,29
420,40ft,8
421,40ft,9
422,40ft,25
423,40ft,24
424,40ft,19
425,40ft,21
426,20ft,20
427,20ft,29
428,40ft,24
429,40ft,26
430,40ft,21
431,40ft,21
432,40ft,25
433,40ft,28
434,40ft,22
435,40ft,19
436,40ft,21
437,40ft,21
438,40ft,19
439,40ft,19
440,40ft,22
441,40ft,14
442,40ft,24
443,40ft,22
444,40ft,19
445,40ft,19
446,40ft,20
447,20ft,21
448,20ft,19
449,20ft,8
450,20ft,21
451,40ft,29
452,40ft,25
453,40ft,19
454,20ft,29
455,20ft,29
456,20ft,27
457,20ft,25
458,40ft,27
459,40ft,25
460,20ft,21
461,20ft,28
462,20ft,20
463,20ft,19
464,40ft,21
465,40ft,22
466,40ft,21
467,20ft,19
468,20ft,28
469,40ft,26
470,40ft,22
471,40ft,8
472,40ft,2
473,40ft,22
474,40ft,19
475,40ft,20
476,40ft,19
477,40ft,20
478,20ft,27
479,20ft,25
480,40ft,28
481,40ft,20
482,40ft,19
483,20ft,21
484,20ft,19
485,20ft,22
486,20ft,20
487,40ft,24
488,40ft,29
489,40ft,6
490,40ft,2
491,20ft,3
492,20ft,14
493,40ft,13
494,40ft,12
495,40ft,15
496,40ft,8
497,40ft,9
498,20ft,20
499,20ft,27
500,20ft,15
501,20ft,25
502,20ft,8
503,20ft,24
504,40ft,25
505,40ft,24
506,40ft,13
507,40ft,13
508,40ft,3
509,20ft,20
510,20ft,28
511,20ft,13
512,20ft,28
513,40ft,26
514,40ft,29
515,40ft,19
516,40ft,22
517,40ft,20
518,40ft,21
519,40ft,22
520,40ft,12
521,40ft,14
522,40ft,14
523,40ft,13
524,40ft,13
525,40ft,14
526,40ft,9
527,40ft,24
528,40ft,28
529,40ft,20
530,40ft,20
531,40ft,20
532,40ft,20
533,40ft,18
534,40ft,21
535,40ft,27
536,40ft,26
537,40ft,25
538,40ft,27
539,40ft,24
540,40ft,23
541,40ft,21
542,40ft,18
543,20ft,22
544,20ft,26
545,20ft,21
546,20ft,24
547,20ft,19
548,20ft,21
549,20ft,20
550,20ft,19
551,20ft,19
552,20ft,22
553,40ft,25
554,40ft,27
555,40ft,25
556,40ft,26
557,20ft,20
558,20ft,19
559,20ft,21
560,20ft,21
561,20ft,14
562,20ft,22
563,40ft,24
564,40ft,26
565,40ft,28
566,40ft,13
567,40ft,3
568,20ft,2
569,20ft,19
570,40ft,19
571,40ft,5
572,40ft,6
573,40ft,5
574,40ft,3
575,40ft,2
576,40ft,2
577,40ft,28
578,40ft,27
579,40ft,27
580,40ft,26
581,40ft,21
582,40ft,20
583,40ft,19
584,20ft,12
585,20ft,25
586,40ft,21
587,40ft,20
588,40ft,22
589,40ft,21
590,40ft,22
591,40ft,20
592,40ft,13
593,20ft,9
594,20ft,21
595,40ft,29
596,40ft,29
597,40ft,29
598,20ft,20
599,20ft,25
600,40ft,19
601,40ft,19
602,40ft,19
603,40ft,21
604,20ft,25
605,20ft,29
606,20ft,21
607,20ft,27
608,40ft,8
609,40ft,8
610,20ft,22
611,20ft,21
612,20ft,19
613,20ft,21
