id,tipo,peso
0,40ft,6
1,40ft,6
2,40ft,5
3,40ft,2
4,20ft,22
5,20ft,29
6,20ft,22
7,20ft,20
8,20ft,13
9,20ft,12
10,40ft,8
11,20ft,20
12,20ft,25
13,20ft,21
14,20ft,22
15,20ft,22
16,20ft,19
17,20ft,27
18,20ft,29
19,20ft,29
20,20ft,28
21,40ft,27
22,20ft,22
23,20ft,27
24,20ft,29
25,20ft,24
26,20ft,28
27,20ft,26
28,20ft,29
29,20ft,27
30,20ft,27
31,20ft,27
32,20ft,22
33,20ft,21
34,40ft,26
35,20ft,3
36,20ft,19
37,20ft,2
38,20ft,20
39,40ft,8
40,40ft,5
41,40ft,3
42,40ft,2
43,40ft,28
44,40ft,27
45,40ft,9
46,40ft,26
47,40ft,26
48,20ft,20
49,20ft,24
50,20ft,25
51,20ft,21
52,20ft,20
53,20ft,20
54,40ft,28
55,20ft,12
56,20ft,26
57,20ft,2
58,20ft,22
59,40ft,19
60,40ft,19
61,20ft,20
62,20ft,26
63,40ft,25
64,40ft,26
65,40ft,29
66,40ft,19
67,20ft,27
68,20ft,29
69,20ft,26
70,20ft,27
71,20ft,28
72,20ft,25
73,20ft,19
74,20ft,23
75,20ft,22
76,20ft,21
77,40ft,27
78,20ft,20
79,20ft,27
80,20ft,23
81,20ft,23
82,20ft,22
83,20ft,21
84,20ft,22
85,20ft,22
86,40ft,28
87,40ft,29
88,20ft,19
89,20ft,26
90,20ft,20
91,20ft,19
92,20ft,20
93,20ft,23
94,40ft,21
95,40ft,14
96,20ft,20
97,20ft,29
98,40ft,25
99,40ft,24
100,40ft,22
101,40ft,22
102,40ft,20
103,40ft,23
104,40ft,24
105,40ft,28
106,40ft,20
107,40ft,21
108,40ft,21
109,40ft,19
110,40ft,19
111,20ft,20
112,20ft,21
113,40ft,20
114,40ft,20
115,40ft,22
116,40ft,21
117,20ft,19
118,20ft,28
119,20ft,22
120,20ft,28
121,20ft,22
122,20ft,28
123,20ft,22
124,20ft,29
125,40ft,19
126,40ft,27
127,40ft,28
128,40ft,26
129,40ft,25
130,20ft,21
131,20ft,26
132,40ft,26
133,20ft,3
134,20ft,20
135,40ft,13
136,40ft,2
137,40ft,3
138,20ft,20
139,20ft,26
140,20ft,19
141,20ft,28
142,20ft,21
143,20ft,25
144,20ft,20
145,20ft,21
146,20ft,22
147,20ft,21
148,20ft,13
149,20ft,22
150,20ft,26
151,20ft,27
152,20ft,21
153,20ft,28
154,40ft,21
155,40ft,13
156,40ft,8
157,40ft,8
158,40ft,9
159,40ft,26
160,40ft,26
161,40ft,26
162,40ft,12
163,40ft,9
164,40ft,8
165,40ft,8
166,40ft,8
167,20ft,25
168,20ft,25
169,20ft,26
170,20ft,25
171,40ft,29
172,40ft,20
173,40ft,13
174,40ft,14
175,40ft,15
176,40ft,9
177,20ft,22
178,20ft,28
179,20ft,20
180,20ft,19
181,20ft,21
182,20ft,22
183,20ft,22
184,20ft,22
185,40ft,27
186,40ft,26
187,20ft,28
188,20ft,28
189,20ft,26
190,20ft,24
191,20ft,24
192,20ft,28
193,20ft,24
194,20ft,24
195,40ft,19
196,20ft,27
197,20ft,25
198,20ft,25
199,20ft,25
200,20ft,21
201,20ft,21
202,20ft,20
203,20ft,21
204,20ft,13
205,20ft,24
206,20ft,2
207,20ft,21
208,40ft,14
209,20ft,22
210,20ft,29
211,20ft,22
212,20ft,24
213,20ft,19
214,20ft,22
215,20ft,8
216,20ft,22
217,40ft,25
218,40ft,26
219,40ft,19
220,40ft,21
221,20ft,3
222,20ft,27
223,20ft,3
224,20ft,22
225,20ft,2
226,20ft,14
227,40ft,12
228,40ft,13
229,40ft,6
230,40ft,6
231,40ft,6
232,20ft,19
233,20ft,29
234,20ft,18
235,20ft,20
236,40ft,27
237,40ft,12
238,40ft,13
239,40ft,13
240,40ft,15
241,40ft,29
242,40ft,20
243,40ft,21
244,40ft,19
245,40ft,20
246,40ft,14
247,40ft,14
248,40ft,8
249,40ft,8
250,40ft,6
251,40ft,5
252,40ft,6
253,20ft,20
254,20ft,20
255,20ft,9
256,20ft,21
257,40ft,26
258,40ft,24
259,40ft,25
260,40ft,29
261,40ft,24
262,20ft,19
263,20ft,26
264,20ft,19
265,20ft,27
266,20ft,22
267,20ft,29
268,20ft,2
269,20ft,19
270,40ft,22
271,20ft,27
272,20ft,28
273,20ft,22
274,20ft,28
275,20ft,13
276,20ft,22
277,40ft,25
278,40ft,25
279,40ft,28
280,40ft,20
281,20ft,21
282,20ft,24
283,20ft,22
284,20ft,27
285,20ft,19
286,20ft,21
287,20ft,14
288,20ft,21
289,40ft,28
290,40ft,24
291,40ft,29
292,20ft,19
293,20ft,28
294,20ft,18
295,20ft,22
296,40ft,14
297,40ft,9
298,40ft,8
299,40ft,8
300,40ft,9
301,40ft,8
302,40ft,6
303,20ft,15
304,20ft,21
305,40ft,26
306,40ft,26
307,40ft,27
308,40ft,20
309,40ft,14
310,40ft,14
311,40ft,8
312,20ft,26
313,20ft,28
314,20ft,20
315,20ft,26
316,20ft,21
317,20ft,28
318,40ft,24
319,40ft,26
320,40ft,27
321,40ft,24
322,20ft,22
323,20ft,20
324,40ft,25
325,40ft,24
326,40ft,25
327,40ft,25
328,40ft,29
329,40ft,29
330,40ft,27
331,20ft,22
332,20ft,19
333,40ft,28
334,40ft,28
335,40ft,26
336,40ft,25
337,40ft,24
338,40ft,27
339,40ft,26
340,20ft,19
341,20ft,26
342,20ft,20
343,20ft,24
344,20ft,22
345,20ft,26
346,20ft,22
347,20ft,29
348,20ft,14
349,20ft,28
350,20ft,12
351,20ft,20
352,20ft,8
353,20ft,21
354,40ft,14
355,40ft,8
356,20ft,14
357,20ft,22
358,40ft,26
359,40ft,14
360,40ft,15
361,40ft,9
362,40ft,8
363,40ft,8
364,40ft,8
365,40ft,26
366,40ft,22
367,40ft,21
368,40ft,20
369,40ft,21
370,40ft,22
371,40ft,22
372,40ft,20
373,40ft,22
374,40ft,27
375,40ft,20
376,40ft,19
377,40ft,22
378,40ft,12
379,40ft,14
380,40ft,9
381,40ft,5
382,40ft,27
383,40ft,20
384,40ft,19
385,40ft,13
386,40ft,8
387,40ft,9
388,40ft,9
389,40ft,6
390,20ft,27
391,20ft,26
392,20ft,29
393,20ft,26
394,20ft,27
395,20ft,27
396,20ft,26
397,20ft,28
398,20ft,20
399,20ft,26
400,20ft,21
401,20ft,25
402,20ft,22
403,20ft,2
404,40ft,20
405,20ft,20
406,20ft,27
407,20ft,21
408,20ft,24
409,20ft,21
410,20ft,28
411,40ft,26
412,40ft,22
413,40ft,20
414,40ft,14
415,40ft,6
416,20ft,22
417,20ft,27
418,20ft,19
419,20ft,24
420,20ft,22
421,20ft,22
422,20ft,22
423,20ft,19
424,20ft,14
425,20ft,21
426,40ft,27
427,40ft,20
428,40ft,21
429,40ft,9
430,20ft,19
431,20ft,19
432,40ft,27
433,40ft,19
434,20ft,22
435,20ft,25
436,20ft,13
437,20ft,18
438,40ft,27
439,40ft,28
440,40ft,19
441,40ft,22
442,40ft,22
443,40ft,20
444,40ft,20
445,20ft,21
446,20ft,24
447,20ft,14
448,20ft,24
449,20ft,8
450,20ft,28
451,40ft,27
452,40ft,25
453,40ft,25
454,40ft,22
455,40ft,8
456,20ft,29
457,20ft,27
458,20ft,29
459,20ft,26
460,20ft,20
461,20ft,26
462,20ft,19
463,20ft,29
464,20ft,19
465,20ft,28
466,40ft,22
467,40ft,22
468,40ft,20
469,40ft,25
470,40ft,24
471,40ft,27
472,40ft,29
473,40ft,25
474,40ft,28
475,40ft,24
476,40ft,13
477,40ft,14
478,20ft,19
479,20ft,22
480,40ft,19
481,40ft,21
482,40ft,8
483,40ft,3
484,40ft,24
485,20ft,29
486,20ft,29
487,20ft,21
488,20ft,18
489,40ft,20
490,40ft,21
491,40ft,20
492,40ft,8
493,20ft,26
494,20ft,24
495,40ft,24
496,40ft,25
497,40ft,27
498,20ft,20
499,20ft,22
500,20ft,13
501,20ft,21
502,20ft,2
503,20ft,21
504,40ft,15
505,40ft,8
506,40ft,29
507,40ft,19
508,40ft,19
509,40ft,21
510,20ft,20
511,20ft,28
512,20ft,22
513,20ft,29
514,20ft,19
515,20ft,19
516,40ft,25
517,40ft,25
518,40ft,25
519,40ft,25
520,40ft,20
521,20ft,24
522,20ft,27
523,40ft,25
524,40ft,27
525,40ft,29
526,40ft,28
527,40ft,22
528,40ft,19
529,40ft,19
530,20ft,14
531,20ft,21
532,40ft,25
533,40ft,27
534,40ft,19
535,40ft,22
536,40ft,15
537,40ft,14
538,40ft,13
539,20ft,28
540,20ft,27
541,20ft,22
542,20ft,29
543,20ft,20
544,20ft,28
545,20ft,21
546,20ft,28
547,20ft,22
548,20ft,27
549,20ft,2
550,20ft,29
551,40ft,21
552,40ft,22
553,20ft,20
554,20ft,28
555,20ft,14
556,20ft,25
557,20ft,3
558,20ft,26
559,40ft,14
560,40ft,8
561,40ft,8
562,40ft,6
563,40ft,2
564,40ft,26
565,40ft,27
566,40ft,27
567,40ft,24
568,40ft,28
569,40ft,29
570,40ft,20
571,40ft,20
572,20ft,21
573,20ft,28
574,20ft,13
575,20ft,25
576,20ft,15
577,20ft,24
578,20ft,9
579,20ft,24
580,40ft,24
581,40ft,28
582,40ft,26
583,40ft,28
584,40ft,25
585,40ft,25
586,40ft,29
587,40ft,29
588,40ft,22
589,40ft,21
590,40ft,19
591,40ft,3
592,20ft,14
593,20ft,25
594,20ft,3
595,20ft,19
596,40ft,22
597,40ft,20
598,40ft,6
599,40ft,6
600,40ft,5
601,40ft,2
602,20ft,15
603,20ft,26
604,20ft,15
605,20ft,22
606,20ft,2
607,20ft,20
608,40ft,19
609,40ft,21
610,40ft,21
611,40ft,20
612,40ft,13
613,40ft,24
614,40ft,24
615,40ft,26
616,40ft,27
617,40ft,29
618,40ft,29
619,40ft,18
620,40ft,19
621,20ft,3
622,20ft,19
623,40ft,8
624,40ft,8
625,40ft,2
626,40ft,20
627,40ft,22
628,40ft,23
629,40ft,22
630,40ft,19
631,40ft,22
632,20ft,21
633,20ft,26
634,20ft,14
635,20ft,20
636,40ft,20
637,40ft,19
638,40ft,20
639,40ft,14
640,40ft,8
641,40ft,3
642,40ft,3
643,20ft,19
644,20ft,25
645,20ft,23
646,20ft,26
647,20ft,20
648,20ft,28
649,20ft,22
650,20ft,24
651,20ft,19
652,20ft,19
653,20ft,22
654,20ft,19
655,40ft,25
656,40ft,19
657,40ft,28
658,40ft,29
659,40ft,24
660,40ft,25
661,40ft,19
662,40ft,22
663,40ft,21
664,40ft,20
665,40ft,13
666,40ft,14
667,40ft,8
668,40ft,5
669,40ft,3
670,20ft,29
671,20ft,26
672,20ft,26
673,20ft,28
674,20ft,21
675,20ft,24
676,20ft,21
677,20ft,28
678,40ft,21
679,40ft,22
680,40ft,15
681,40ft,9
682,40ft,5
683,40ft,28
684,40ft,19
685,40ft,19
686,40ft,19
687,40ft,19
688,40ft,8
689,40ft,6
690,40ft,6
691,20ft,22
692,20ft,23
693,20ft,21
694,20ft,19
695,20ft,20
696,20ft,19
697,20ft,22
698,20ft,22
699,20ft,12
700,20ft,22
701,40ft,19
702,40ft,22
703,40ft,19
704,20ft,22
705,20ft,25
706,20ft,12
707,20ft,22
708,20ft,2
709,20ft,19
710,40ft,22
711,40ft,13
712,40ft,12
713,40ft,8
714,40ft,3
715,40ft,2
716,20ft,27
717,20ft,25
718,20ft,22
719,20ft,29
720,20ft,22
721,20ft,27
722,40ft,23
723,40ft,14
724,40ft,8
725,40ft,8
726,40ft,2
727,40ft,25
728,40ft,28
729,40ft,24
730,40ft,19
731,20ft,21
732,20ft,27
733,40ft,24
734,40ft,24
735,40ft,29
736,40ft,20
737,40ft,22
738,40ft,19
739,40ft,14
740,40ft,20
741,40ft,14
742,40ft,15
743,40ft,9
744,40ft,9
745,20ft,2
746,20ft,13
747,40ft,13
748,40ft,13
749,40ft,8
750,40ft,5
751,40ft,3
752,40ft,2
753,20ft,25
754,20ft,27
755,20ft,20
756,20ft,25
757,20ft,19
758,20ft,26
759,20ft,20
760,20ft,28
761,20ft,18
762,20ft,26
763,40ft,24
764,40ft,25
765,40ft,24
766,20ft,13
767,20ft,13
768,40ft,21
769,40ft,19
770,40ft,19
771,40ft,21
772,40ft,22
773,40ft,9
774,40ft,5
775,20ft,22
776,20ft,24
777,20ft,21
778,20ft,28
779,40ft,25
780,40ft,25
781,40ft,26
782,40ft,28
783,40ft,26
784,40ft,28
785,40ft,5
786,40ft,3
787,40ft,2
788,20ft,21
789,20ft,24
790,20ft,22
791,20ft,27
792,20ft,22
793,20ft,24
794,20ft,22
795,20ft,19
796,20ft,19
797,20ft,21
798,40ft,28
799,40ft,27
800,40ft,29
801,40ft,9
802,20ft,3
803,20ft,29
804,40ft,9
805,40ft,8
806,40ft,9
807,40ft,8
808,40ft,6
