id,tipo,peso
0,20ft,21
1,20ft,29
2,40ft,25
3,40ft,26
4,40ft,24
5,40ft,19
6,40ft,14
7,40ft,14
8,20ft,20
9,20ft,21
10,40ft,28
11,40ft,24
12,40ft,27
13,40ft,26
14,40ft,9
15,20ft,28
16,20ft,27
17,20ft,12
18,20ft,21
19,40ft,24
20,40ft,26
21,40ft,29
22,40ft,3
23,40ft,20
24,40ft,14
25,40ft,13
26,40ft,9
27,40ft,3
28,40ft,3
29,20ft,28
30,20ft,24
31,20ft,22
32,20ft,20
33,40ft,29
34,40ft,20
35,40ft,19
36,40ft,20
37,20ft,22
38,20ft,20
39,40ft,19
40,40ft,20
41,40ft,13
42,40ft,5
43,40ft,6
44,40ft,28
45,40ft,18
46,20ft,24
47,20ft,25
48,20ft,21
49,20ft,24
50,40ft,25
51,20ft,27
52,20ft,24
53,20ft,22
54,20ft,21
55,20ft,22
56,20ft,19
57,20ft,19
58,20ft,25
59,20ft,22
60,20ft,27
61,20ft,14
62,20ft,21
63,40ft,27
64,40ft,13
65,40ft,3
66,40ft,2
67,20ft,19
68,20ft,26
69,40ft,29
70,40ft,26
71,40ft,25
72,40ft,24
73,40ft,24
74,40ft,14
75,40ft,3
76,40ft,22
77,40ft,23
78,40ft,19
79,40ft,5
80,20ft,20
81,20ft,21
82,20ft,20
83,20ft,22
84,20ft,19
85,20ft,20
86,20ft,2
87,20ft,13
88,20ft,23
89,20ft,25
90,20ft,19
91,20ft,27
92,20ft,19
93,20ft,20
94,40ft,19
95,40ft,22
96,40ft,22
97,20ft,20
98,20ft,19
99,20ft,21
100,20ft,19
101,20ft,21
102,20ft,21
103,20ft,19
104,20ft,20
105,40ft,22
106,40ft,20
107,40ft,6
108,20ft,22
109,20ft,25
110,20ft,19
111,20ft,19
112,40ft,25
113,40ft,27
114,40ft,22
115,40ft,14
116,40ft,14
117,20ft,24
118,20ft,24
119,20ft,29
120,20ft,29
121,20ft,24
122,20ft,28
123,20ft,21
124,20ft,19
125,20ft,3
126,20ft,3
127,20ft,3
128,20ft,3
129,20ft,21
130,20ft,24
131,40ft,28
132,40ft,14
133,40ft,8
134,20ft,20
135,20ft,26
136,20ft,22
137,20ft,24
138,20ft,13
139,20ft,19
140,40ft,9
141,40ft,8
142,40ft,9
143,40ft,3
144,20ft,19
145,20ft,26
146,20ft,18
147,20ft,26
148,40ft,19
149,40ft,21
150,40ft,5
151,40ft,6
152,40ft,3
153,40ft,3
154,20ft,22
155,20ft,25
156,40ft,24
157,40ft,27
158,40ft,27
159,20ft,27
160,20ft,26
161,20ft,20
162,20ft,26
163,40ft,28
164,40ft,20
165,40ft,19
166,40ft,20
167,40ft,12
168,20ft,20
169,20ft,19
170,20ft,19
171,20ft,22
172,20ft,25
173,20ft,26
174,40ft,24
175,40ft,29
176,40ft,14
177,40ft,5
178,20ft,3
179,20ft,28
180,40ft,26
181,40ft,28
182,40ft,28
183,40ft,13
184,40ft,13
185,40ft,14
186,20ft,27
187,20ft,26
188,20ft,14
189,20ft,25
190,40ft,28
191,40ft,20
192,40ft,22
193,40ft,19
194,40ft,19
195,40ft,19
196,40ft,13
197,40ft,9
198,40ft,22
199,40ft,22
200,40ft,18
201,20ft,20
202,20ft,19
203,40ft,21
204,40ft,14
205,40ft,8
206,40ft,22
207,40ft,22
208,40ft,19
209,40ft,13
210,40ft,13
211,40ft,6
212,40ft,6
213,40ft,3
214,20ft,8
215,20ft,24
216,40ft,26
217,40ft,26
218,40ft,26
219,40ft,22
220,40ft,20
221,40ft,13
222,20ft,20
223,20ft,29
224,20ft,20
225,20ft,25
226,40ft,28
227,40ft,20
228,40ft,22
229,40ft,13
230,40ft,2
231,20ft,21
232,20ft,24
233,20ft,12
234,20ft,21
235,40ft,8
236,40ft,9
237,40ft,9
238,40ft,8
239,40ft,5
240,40ft,19
241,40ft,5
242,40ft,5
243,40ft,3
244,20ft,19
245,20ft,27
246,40ft,27
247,40ft,21
248,40ft,19
249,40ft,22
250,40ft,22
251,40ft,21
252,20ft,21
253,20ft,26
254,20ft,22
255,20ft,22
256,40ft,22
257,40ft,14
258,40ft,13
259,40ft,13
260,40ft,5
261,20ft,20
262,20ft,27
263,20ft,22
264,20ft,26
265,20ft,15
266,20ft,27
267,40ft,13
268,40ft,13
269,40ft,8
270,40ft,5
271,40ft,28
272,40ft,24
273,40ft,27
274,40ft,25
275,40ft,25
276,40ft,22
277,40ft,2
278,20ft,24
279,20ft,25
280,20ft,20
281,20ft,21
282,20ft,9
283,20ft,25
284,40ft,29
285,40ft,28
286,20ft,20
287,20ft,25
288,20ft,8
289,20ft,21
290,40ft,29
291,40ft,27
292,40ft,25
293,40ft,28
294,40ft,6
295,20ft,19
296,20ft,29
297,20ft,19
298,20ft,29
299,20ft,21
300,20ft,27
301,20ft,22
302,20ft,27
303,20ft,22
