id,tipo,peso
0,40ft,26
1,40ft,25
2,40ft,21
3,40ft,18
4,40ft,9
5,40ft,3
6,20ft,2
7,20ft,21
8,20ft,3
9,20ft,3
10,40ft,14
11,40ft,8
12,40ft,6
13,40ft,5
14,20ft,27
15,20ft,28
16,40ft,19
17,40ft,2
18,40ft,28
19,40ft,27
20,40ft,29
21,40ft,28
22,40ft,25
23,40ft,25
24,40ft,27
25,40ft,14
26,40ft,19
27,40ft,19
28,40ft,22
29,40ft,19
30,40ft,27
31,40ft,27
32,40ft,29
33,40ft,25
34,40ft,26
35,40ft,22
36,40ft,14
37,20ft,24
38,20ft,27
39,20ft,28
40,20ft,27
41,20ft,20
42,20ft,22
43,20ft,19
44,20ft,19
45,20ft,3
46,20ft,3
47,20ft,2
48,20ft,3
49,40ft,6
50,40ft,6
51,40ft,25
52,40ft,29
53,40ft,29
54,40ft,18
55,40ft,20
56,20ft,19
57,20ft,26
58,20ft,20
59,20ft,25
60,20ft,14
61,20ft,22
62,40ft,22
63,20ft,19
64,20ft,19
65,40ft,25
66,40ft,22
67,20ft,19
68,20ft,24
69,40ft,19
70,40ft,27
71,40ft,29
72,40ft,21
73,40ft,21
74,40ft,19
75,40ft,20
76,40ft,19
77,40ft,21
78,20ft,22
79,20ft,21
80,40ft,24
81,40ft,20
82,40ft,20
83,40ft,28
84,40ft,26
85,40ft,21
86,40ft,22
87,20ft,22
88,20ft,29
89,40ft,29
90,40ft,27
91,40ft,22
92,20ft,24
93,20ft,25
94,20ft,24
95,20ft,26
96,40ft,25
97,40ft,20
98,40ft,9
99,40ft,5
100,40ft,6
101,20ft,28
102,20ft,26
103,20ft,27
104,20ft,26
105,20ft,22
106,20ft,20
107,20ft,19
108,20ft,22
109,40ft,20
110,40ft,21
111,40ft,20
112,40ft,14
113,40ft,6
114,20ft,21
115,20ft,26
116,20ft,22
117,20ft,22
118,20ft,8
119,20ft,19
120,40ft,25
121,40ft,26
122,40ft,24
123,20ft,2
124,20ft,25
125,40ft,27
126,40ft,21
127,40ft,18
128,40ft,22
129,40ft,21
130,40ft,20
131,20ft,12
132,20ft,25
133,20ft,2
134,20ft,21
135,40ft,22
136,40ft,13
137,40ft,14
138,20ft,13
139,20ft,21
140,40ft,20
141,40ft,20
142,40ft,19
143,40ft,20
144,20ft,21
145,20ft,28
146,20ft,19
147,20ft,22
148,20ft,20
149,20ft,23
150,40ft,29
151,40ft,24
152,20ft,19
153,20ft,27
154,40ft,24
155,40ft,27
156,40ft,22
157,40ft,22
158,40ft,20
159,40ft,21
160,40ft,21
161,40ft,27
162,40ft,27
163,40ft,29
164,40ft,2
165,20ft,22
166,20ft,27
167,40ft,28
168,40ft,25
169,40ft,19
170,40ft,28
171,20ft,22
172,20ft,25
173,40ft,22
174,20ft,22
175,20ft,19
176,20ft,21
177,20ft,21
178,40ft,28
179,40ft,19
180,40ft,19
181,40ft,19
182,20ft,9
183,20ft,29
184,20ft,2
185,20ft,22
186,40ft,20
187,40ft,22
188,40ft,8
189,40ft,8
190,40ft,9
191,20ft,22
192,20ft,27
193,20ft,21
194,20ft,26
195,20ft,24
196,20ft,22
197,40ft,29
198,40ft,26
199,40ft,27
200,40ft,19
201,40ft,22
202,40ft,22
203,40ft,12
204,40ft,13
205,40ft,2
206,40ft,3
207,40ft,2
208,40ft,23
209,40ft,22
210,40ft,12
211,40ft,13
212,40ft,12
213,20ft,22
214,20ft,28
215,20ft,20
216,20ft,28
217,20ft,21
218,20ft,20
219,20ft,21
220,20ft,20
221,20ft,15
222,20ft,22
223,40ft,21
224,40ft,21
225,40ft,8
226,40ft,6
227,20ft,22
228,20ft,26
229,20ft,19
230,20ft,21
231,20ft,8
232,20ft,23
233,40ft,14
234,40ft,9
235,40ft,8
236,40ft,5
237,20ft,15
238,20ft,27
239,20ft,2
240,20ft,26
241,40ft,14
242,40ft,13
243,40ft,9
244,20ft,2
245,20ft,19
